init_time,eventAction,payloadCreation,eventStart,eventEnd,eventType,eventSampleSpeed,eventDurationSeconds,eventMilesDriven,eventStartLatitude,eventStartLongitude,eventEndLatitude,eventEndLongitude,eventSensorDetectionMthd,eventGPSSignalStrength,eventStartSpeed,eventEndSpeed,eventSpeedChange,memsMedianLateralAccel,memsP75LateralAccel,memsP95LateralAccel,memsMedianHorizontalNorm,memsP75HorizontalNorm,memsP95HorizontalNorm,gpsMedianLateralAccel,gpsP75LateralAccel,gpsP95LateralAccel,bearing_angular_change_per_second,gyro_angular_change_per_second,bearingAngleChange,gyroAngleChange,mems_radius,gps_radius,validity_mean,speed_gap,aggressive
117214355.1,1,1,670340.75,677584.9,4,10.394929,7.2441254,0.016990924,41.774303,-87.60581,41.774117,-87.60563,2,1.4807962,17.323687,6.789408,-1,0.5590223,0.79119194,1.6375988,1.0469719,1.5104423,1.774518,0.7381914,0.8005981,0.8549561,8.662511,9.521707,67.59688,69.3196,22.941639,20.335337,1,-10.534279,0
117214355.1,1,1,250180.31,257678.03,4,9.40191,7.4977193,0.016103232,41.80227,-87.606285,41.802094,-87.60647,2,1.6938529,6.197542,10.10106,-1,0.85060453,1.1277229,1.3717371,1.1533921,1.3847255,1.6558032,0.9262231,1.051501,1.1471728,9.708605,11.245602,80.07132,84.723694,20.737572,21.819538,1,3.903518,0
1122337499.574368,1,1,604877.0,609121.56,5,11.290954,4.2445626,0.008358882,41.82242,-87.8726,41.822502,-87.87251,2,21.17347,11.229438,9.081976,-1,3.5681632,3.9260814,4.2973256,5.708309,6.6723394,7.3215017,1.0835671,1.4947033,1.4947033,11.732657,24.616348,44.00092,105.462135,18.996666,29.467962,1,-2.147462000000001,0
1122337499.574368,1,1,284234.22,287407.72,5,12.743101,3.1735,0.007653825,41.81778,-87.91813,41.817856,-87.91803,1,15.306123,10.714942,13.421639,-1,2.2715354,2.956932,3.4609203,3.0998526,3.5804033,3.9773488,1.748773,1.7702398,1.7702398,10.335592,17.929585,45.601433,57.610783,23.95911,21.440578,1,2.706697,0
1122337499.574368,1,1,37649.457,43639.777,5,8.986107,5.9903207,0.013586978,41.802822,-87.9271,41.80295,-87.92693,0,19.387754,2.7290666,20.937756,-1,0.48707032,0.87665224,1.5003042,1.1971211,1.655853,2.1912675,0.26653948,1.6989274,2.6195989,11.501888,2.7870755,74.40141,16.806042,91.71366,12.708904,1,18.2086894,0
119777466.5,1,1,300718.8,304702.78,5,12.767216,3.983969,0.013818122,41.78775,-87.59149,41.787834,-87.59127,0,1.9164623,10.10658,16.496264,-1,0.42143607,0.7366903,1.0313067,2.043621,2.5193348,3.125618,1.6704918,2.5779698,2.6988118,20.080564,17.628649,87.44424,70.87045,3.4720097,15.692536,1,6.389684000000001,0
119777466.5,1,1,279748.6,283696.34,4,12.444061,3.94775,0.013340457,41.786583,-87.5916,41.78674,-87.59148,0,2.0043406,12.242492,14.028724,-1,0.5300102,0.722034,0.915853,1.6497481,1.8085139,2.148607,1.762359,1.9905915,1.9966867,18.826092,15.778398,82.983246,62.86063,6.3282995,16.224472,1,1.786232,0
2130887211.336343,1,1,139896.95,142634.67,5,11.281634,2.7377188,0.00857287,41.83086,-87.86682,41.830982,-87.86679,1,19.387754,9.529365,10.491248,-1,0.40903112,0.6620113,1.135946,1.1731364,1.4868227,1.9824717,0.9665374,1.923563,1.923563,8.839477,11.777087,11.200174,32.709633,9.3242035,18.774883,1,0.9618830000000003,0
2130887211.336343,1,1,116845.33,120812.88,5,11.028114,3.9675548,0.009012268,41.83074,-87.86795,41.830826,-87.86783,1,16.836735,8.4780035,14.696693,-1,0.27566415,0.94011587,2.0708036,2.366215,2.534077,2.8477526,1.4640998,2.6753345,2.6753345,15.374709,22.094933,70.401276,88.53948,3.0875568,17.636868,1,6.2186895,0
2130887211.336343,1,1,71415.96,76772.39,4,19.864027,5.35643,0.025984313,41.827137,-87.868095,41.827366,-87.86776,1,20.663265,22.033857,18.58897,-1,1.2460494,1.449591,1.6756072,2.522688,2.856652,3.1014853,2.4151301,2.8296523,3.4611306,16.410183,16.592813,88.200966,89.5366,12.669695,31.072239,1,-3.4448870000000014,0
