eventType,eventSampleSpeed,eventDurationSeconds,eventMilesDriven,eventSensorDetectionMthd,eventGPSSignalStrength,eventStartSpeed,eventEndSpeed,memsMedianLateralAccel,memsP75LateralAccel,memsP95LateralAccel,memsMedianHorizontalNorm,memsP75HorizontalNorm,memsP95HorizontalNorm,gpsMedianLateralAccel,gpsP75LateralAccel,gpsP95LateralAccel,bearing_angular_change_per_second,gyro_angular_change_per_second,bearingAngleChange,gyroAngleChange,mems_radius,gps_radius
4,10.394929,7.2441254,0.016990924,2,1.4807962,17.323687,6.789408,0.5590223,0.79119194,1.6375988,1.0469719,1.5104423,1.774518,0.7381914,0.8005981,0.8549561,8.662511,9.521707,67.59688,69.3196,22.941639,20.335337
4,9.40191,7.4977193,0.016103232,2,1.6938529,6.197542,10.10106,0.85060453,1.1277229,1.3717371,1.1533921,1.3847255,1.6558032,0.9262231,1.051501,1.1471728,9.708605,11.245602,80.07132,84.723694,20.737572,21.819538
4,5.59235,4.9590626,0.009629575,0,40.051018,5.59235,4.8988986,0.06365216,0.2640543,0.68771553,0.5046155,0.6935507,1.0631787,2.485116,2.8628826,3.4062154,29.804018,1.2125212,295.70374,6.061072,209.7916,3.5927052
4,13.618488,5.0379376,0.012169595,2,29.591837,20.915386,6.4871254,1.0951651,1.8720981,2.1289012,1.9351555,2.348208,2.8883014,1.7967681,2.412434,3.4740891,17.070477,19.032585,79.60125,96.639984,10.500327,18.662346
5,11.290954,4.2445626,0.008358882,2,21.17347,11.229438,9.081976,3.5681632,3.9260814,4.2973256,5.708309,6.6723394,7.3215017,1.0835671,1.4947033,1.4947033,11.732657,24.616348,44.00092,105.462135,18.996666,29.467962
4,16.68757,4.6808753,0.021078091,2,27.040817,21.027235,15.949382,2.286202,2.7480047,3.3423502,3.6789727,4.196488,4.7177486,0.715496,2.003462,5.130083,13.779474,22.424997,60.40284,105.85818,18.107126,42.893253
5,12.743101,3.1735,0.007653825,1,15.306123,10.714942,13.421639,2.2715354,2.956932,3.4609203,3.0998526,3.5804033,3.9773488,1.748773,1.7702398,1.7702398,10.335592,17.929585,45.601433,57.610783,23.95911,21.440578
4,13.421638,1.9835314,0.009760558,0,36.734695,17.627085,4.3396635,0.765434,1.0408049,1.3335145,1.4769177,1.5910645,1.9835403,5.459871,6.3530016,6.3530016,35.945988,4.1215944,111.0,8.338819,152.07451,10.531838
5,15.160859,2.9752033,0.014220672,0,28.571428,10.871527,20.445631,0.3474207,0.56937146,0.95781136,2.0152307,2.22517,2.3584728,2.2494593,4.154278,4.154278,27.191418,1.3041006,89.202095,3.9316971,1356.1542,24.533548
4,18.45028,3.9668674,0.02033092,0,30.102041,15.367777,22.660202,0.5287819,0.96751976,1.4523826,1.9051985,2.1825895,2.6498764,2.2523391,3.1001453,5.5340457,21.578741,0.9635703,96.503395,3.8605795,471.90286,27.897196
5,8.986107,5.9903207,0.013586978,0,19.387754,2.7290666,20.937756,0.48707032,0.87665224,1.5003042,1.1971211,1.655853,2.1912675,0.26653948,1.6989274,2.6195989,11.501888,2.7870755,74.40141,16.806042,91.71366,12.708904
